Web_Site_Member_ID,Master_Member_ID,API_GUID,Constituent_ID,Registration_Date,Approved_Site_Member,Date_Approved,Date_Last_Login,Member_Suspended,Last_Updated,Date_Membership_Expires,Membership,Has_Donated_Online,Date_Last_Donated,Has_Purchased_Online,Date_Last_Purchased,Has_Registered_Event_Online,Date_Last_Event_Reg,Username,Password,Member_Type_Code,Primary_Group_Code,Group_Codes,Gender,First_Name,Middle_Name,Last_Name,Nickname,Member_Name_Suffix,Member_Name_Title,Birthdate,Marriage_Status,Maiden_Name,Anniversary_Date,Spouse_Name,Email_Address,Email_Address_Alternate,Email_Bounced,Messenger_Type,Messenger_Handle,Home_Address_Line1,Home_Address_Line2,Home_City,Home_Location,Home_State_Abbrev,Home_Postal_Code,Home_Country,Personal_Website,Home_Phone_Country_Code,Home_Phone_Area_Code,Home_Phone,Mobile_Country_Code,Mobile_Area_Code,Mobile,Employer_Name,Professional_Title,Profession,Employer_Address_Line1,Employer_Address_Line2,Employer_City,Employer_Location,Employer_State_Abbrev,Employer_Postal_Code,Employer_Country,Employer_Website,Employer_Phone_Country_Code,Employer_Phone_Area_Code,Employer_Phone,Employer_Fax_Country_Code,Employer_Fax_Area_Code,Employer_Fax,Resume_Exists,Resume_Headline,Social_Organizations,Education_and_Experience,More_Personal_Info,Search_Identifier,Internal_Comments,Home_Address_Validated,Employer_Address_Validated,Date_Last_Renewed,Date_Effective_Membership_Expires,Import_Batch_ID,Career_Openings_Allowed,Members_Pages_Allowed,Additional_Seats_Allowed,intNameFormatNormal,YMCareers_Date_Last_Login,YMCareers_Date_Last_Job_Search,YMCareers_Date_Last_Job_Application,Number_of_Employees,Area_of_Expertise,Membership_Division,Age_Range,District_Size,ACTE_Number,County_-_Area,Liability_insurance,Years,ACTE_Expiration,Member_Area,Instructional_area
000047,,e21534bf-93ab-7cc5-a962-f3111f9ac94f,,2016-10-27 12:01:00,Yes,2016-10-27 12:01:48,,Yes,2016-10-27 12:04:39,2017-10-27 00:00:00,Active,No,,No,,No,,user_00019,[REDACTED],Active,,,Female,First00004,,Last00047,,,,,,,,,user00047@example.invalid,,No,,,[ADDR1_00017],,Tomball,Texas,TX,773XX,United States,,,281,5550066,,281,5550067,[ORG_00046],Health Science,,[EADDR1_00017],,Tomball,Texas,TX,773XX,United States,,,281,5550066,,,,No,,,,,srch_00001,,False,False,2016-10-27 12:04:00,2017-10-27 00:00:00,,0,0,0,338,,,,,Postsecondary,Administration,Under 40,"Up to 35,000 students",ACTE000001,Harris - 6,,,2017-08-31 00:00:00,6,
000048,,980a3959-dd8d-5f9b-6156-49bebb38a497,,2015-01-15 00:00:00,Yes,2016-03-31 12:06:00,2025-10-28 16:28:56,Yes,2025-02-17 14:44:08,2026-03-03 00:00:00,Administrator,No,,Yes,2025-01-06 16:00:06,Yes,2025-01-06 16:00:06,user_00020,[REDACTED],Active,,,,First00021,,Last00048,,,Mrs,,,,,,user00048@example.invalid,alt00011@example.invalid,No,,,[ADDR1_00018],[ADDR2_00002],Denton ISD,Texas,TX,762XX,United States,,,,,,940,5550068,[ORG_00047],CTE Director,,[EADDR1_00018],[EADDR2_00002],Denton ISD,Texas,TX,762XX,United States,,,940,5550068,,940,5550069,No,,,,,srch_00001,,False,False,2025-02-17 14:44:08,2026-03-03 00:00:00,153458,0,0,0,338,,,,,Administration,Administration,Under 60,"Up to 35,000 students",ACTE000002,Denton - 2,Yes,1,2015-01-31 00:00:00,2,
000049,,c3d76b4d-aefe-8088-d64b-04c911ca09c4,,,No,,,No,2017-03-28 08:42:13,,,No,,No,,No,,,,,,,,First00044,,Last00049,,,,,,,,,user00049@example.invalid,,No,,,,,,,,,,,,,5550070,,,,[ORG_00048],CTE Coordinator,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000050,,ecb1c3ec-b481-e61d-44a8-477e7d36f153,,,No,,,No,2022-04-01 17:21:02,,,No,,No,,No,,,,,,,,First00045,,Last00050,,,,,,,,,user00050@example.invalid,,No,,,,,,,,,,,,,5550071,,,,[ORG_00049],Counselor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000051,,af249ec7-6808-c48e-bef7-6bc27f389eef,,,No,,,No,2019-04-11 15:41:37,,,No,,No,,No,,,,,,,,First00046,,Last00051,,,,,,,,,user00051@example.invalid,,No,,,,,,,,,,,,,5550072,,,,[ORG_00050],Family and Consumer Science Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000052,,b446e6d9-5304-4ff9-4f78-4b022ddec635,,2024-03-26 00:00:00,Yes,2024-03-27 13:20:00,2025-04-30 11:33:09,Yes,2025-03-26 11:00:30,2026-03-26 00:00:00,Administrator,No,,Yes,2024-03-28 21:09:22,Yes,2024-03-28 21:09:22,user_00021,[REDACTED],Active,,,,First00047,M00003,Last00052,,,,,,,,,user00052@example.invalid,alt00012@example.invalid,Yes,,,[ADDR1_00019],,Brownwood,Texas,TX,768XX,United States,,,,,,325,5550073,[ORG_00051],CTE Director,,[EADDR1_00019],,May,Texas,TX,768XX,United States,,,325,5550073,,254,5550074,No,,,,,srch_00001,,False,False,2025-03-26 11:00:30,2026-03-26 00:00:00,,0,0,0,338,,,,,Teacher ,Administration,Under 40,Up to 500 students,,Brown - 12,No,,,12,
000053,,9838aec5-9ceb-8078-2fd8-be643798a60a,,,No,,,No,2021-04-06 13:35:48,,,No,,No,,No,,,,,,,,First00048,,Last00053,,,,,,,,,user00053@example.invalid,,No,,,,,,,,,,,,,5550075,,,,[ORG_00052],Academic Associate Principal,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000054,,9d7d9acd-0712-f1af-c1ff-bbe7e3f7a20a,,,No,,,No,2021-05-27 13:00:50,,,No,,No,,No,,,,,,,,First00049,,Last00054,,,,,,,,,user00054@example.invalid,,No,,,,,,,,,,,,,5550076,,,,[ORG_00053],Teacher/ Coach ,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000055,,75d430c2-cd77-36a1-74cb-3b7ab9184b6e,,2025-05-08 14:17:00,Yes,2025-05-20 12:07:00,2026-05-29 10:17:37,No,2026-06-01 15:09:34,2027-06-01 00:00:00,Administrator,No,,Yes,2025-05-23 10:58:52,Yes,2025-05-23 10:58:53,user_00022,[REDACTED],Active,,,,First00050,,Last00055,,,,,,,,,user00055@example.invalid,alt00013@example.invalid,No,,,[ADDR1_00020],,Pasadena,Texas,TX,775XX,United States,,,,,,832,5550077,[ORG_00054],CTE coordinator,,[EADDR1_00020],,Deer Park,Texas,TX,775XX,United States,,,832,5550078,,281,5550079,No,,,,,srch_00001,,False,False,2026-06-01 15:09:34,2027-06-01 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 50,"Up to 35,000 students",,Harris - 6,Yes,,,6,
000056,,63fb2cf6-e4f0-ec8e-23b0-a2279566e073,,,No,,,No,2024-06-18 16:09:40,,,No,,No,,No,,,,,,,,First00051,,Last00056,,,,,,,,,user00056@example.invalid,,No,,,,,,,,,,,,,5550080,,,,[ORG_00055],Legal Studies CTE Teacher ,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000057,,b1865341-98f7-ca8c-adea-506e7d7348b9,,,No,,,No,2016-11-29 13:12:21,,,No,,No,,No,,,,,,,,First00052,,Last00057,,,,,,,,,user00057@example.invalid,,No,,,,,,,,,,,,,5550081,,,,[ORG_00056],Assistant Principal,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000058,,b8a54e9c-873f-8a9e-8b19-c2317ed592d7,,,No,,,No,2017-03-27 09:14:07,,,No,,No,,No,,,,,,,,First00053,,Last00058,,,,,,,,,user00058@example.invalid,,No,,,,,,,,,,,,,5550082,,,,[ORG_00057],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000059,,166f3fc4-e2a9-744d-c037-0c152517c171,,,No,,,No,2016-05-04 16:12:27,,,No,,No,,No,,,,,,,,First00054,,Last00059,,,,,,,,,user00059@example.invalid,,No,,,,,,,,,,,,,5550083,,,,[ORG_00058],Business Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000060,,81f62f4a-cfab-f841-ab80-9b12dd713aea,,,No,,,No,2016-06-07 11:45:16,,,No,,No,,No,,,,,,,,First00055,,Last00060,,,,,,,,,user00060@example.invalid,,No,,,,,,,,,,,,,5550084,,,,[ORG_00059],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000061,,873fbb7f-8c80-d84f-edca-cded1f30ce31,,,No,,,No,2025-06-11 10:27:15,,,No,,No,,No,,,,,,,,First00056,,Last00061,,,,,,,,,user00061@example.invalid,,No,,,,,,,,,,,,,5550085,,,,[ORG_00060],High School Principal ,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000062,,01f4873c-a991-d0c5-752c-c344ab7a723a,,,No,,,No,2018-12-03 17:34:13,,,No,,No,,No,,,,,,,,First00057,,Last00062,,,,,,,,,user00062@example.invalid,,No,,,,,,,,,,,,,5550086,,,,[ORG_00061],Principal,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000063,,5941c6f4-f821-79b5-4d84-71173f9381ff,,2022-05-17 20:56:24,No,,,Yes,2022-05-17 20:56:24,,,No,,Yes,2022-05-17 21:05:03,Yes,2022-05-17 21:05:03,user_00023,[REDACTED],Active,,,,First00058,,Last00063,,,,,,,,,user00063@example.invalid,alt00014@example.invalid,No,,,[ADDR1_00021],,Jacksonvillle,Texas,TX,757XX,United States,,,,,,903,5550087,[ORG_00062],Alto High School Principal,,[EADDR1_00021],,Alto,Texas,TX,759XX,United States,,,936,5550088,,936,5550088,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Administration,Administration,Under 30,"Up to 5,000 students",,Cherokee - 3,No,,,7,
000064,,c5ee2de8-fdff-0a78-b983-911abde877f0,,,No,,,No,2022-04-12 13:16:59,,,No,,No,,No,,,,,,,,First00059,,Last00064,,,,,,,,,user00064@example.invalid,,No,,,,,,,,,,,,,5550089,,,,[ORG_00063],High School Counselor,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000065,,b216eeb8-86da-fc55-f5fe-fa84b3a53886,,,No,,,No,2023-04-25 16:29:12,,,No,,No,,No,,,,,,,,First00060,,Last00065,,,,,,,,,user00065@example.invalid,,No,,,,,,,,,,,,,5550090,,,,[ORG_00064],Teacher-Automotive ,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000066,,ada0870c-66e7-8ae3-85f3-5212c1dab9a7,,,No,,,No,2023-05-15 15:25:22,,,No,,No,,No,,,,,,,,First00061,,Last00066,,,,,,,,,user00066@example.invalid,,No,,,,,,,,,,,,,5550091,,,,[ORG_00065],CTE Coordinator,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000067,,58f16f7a-be15-9ce0-90d1-99ec980d00f7,,,No,,,No,2020-05-26 20:21:27,,,No,,No,,No,,,,,,,,First00062,,Last00067,,,,,,,,,user00067@example.invalid,,No,,,,,,,,,,,,,5550092,,,,[ORG_00066],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000068,,68e5ad15-8eb0-0559-9cf6-1727faad53f6,,2025-12-02 14:18:17,Yes,2026-01-04 19:57:31,2026-04-22 10:26:10,No,2026-01-04 19:57:31,2027-01-04 00:00:00,Administrator,No,,Yes,2026-03-18 19:32:46,Yes,2026-03-18 19:32:00,user_00024,[REDACTED],Active,,,,First00063,,Last00068,,,Mrs.,,,,,,user00068@example.invalid,alt00015@example.invalid,No,,,[ADDR1_00022],,Paris,Texas,TX,754XX,United States,,,,,,817,5550093,[ORG_00067],Assistant Principal,,[EADDR1_00022],,Paris,Texas,TX,754XX,United States,,,903,5550094,,903,5550095,No,,,,,srch_00001,,False,False,2026-01-04 19:57:25,2027-01-04 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 40,"Up to 5,000 students",,Lamar - 3,No,,,3,
000069,,baca8c87-9acf-2f57-0435-b2987b7f8da8,,,No,,,No,2016-05-05 09:40:39,,,No,,No,,No,,,,,,,,First00064,,Last00069,,,,,,,,,user00069@example.invalid,,No,,,,,,,,,,,,,5550096,,,,[ORG_00068],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000070,,9b16561a-3113-9bff-29aa-ab3837fa3352,,,No,,,No,2016-06-06 18:40:59,,,No,,No,,No,,,,,,,,First00009,,Last00070,,,,,,,,,user00070@example.invalid,,No,,,,,,,,,,,,,5550097,,,,[ORG_00069],PROGRAM DIRECTOR OF CAREER AND TECHNICAL EDUCATION,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000071,,37720ce6-c025-bc59-e08a-10bf6557606c,,2023-11-16 11:49:00,Yes,2024-04-25 10:27:00,2025-05-07 20:00:14,No,2025-07-01 11:28:34,2026-07-01 00:00:00,Administrator,No,,No,,No,,user_00025,[REDACTED],Active,,,,First00065,,Last00071,,,,,,,,,user00071@example.invalid,alt00016@example.invalid,No,,,[ADDR1_00023],,Terrell,Texas,TX,751XX,United States,,,,,,972,5550098,[ORG_00070],Executive Director,,[EADDR1_00023],,Terrell,Texas,TX,751XX,United States,,,972,5550098,,972,5550099,No,,,,,srch_00001,,False,False,2025-07-01 11:28:34,2026-07-01 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 60,"Up to 10,000 students",,Kaufman - 2,No,,,2,
000072,,09667116-f656-c6ff-95da-bfa200051d0c,,2022-10-12 00:00:00,Yes,2022-10-19 17:33:15,2023-06-21 13:35:17,Yes,2023-03-10 13:54:09,2023-10-19 00:00:00,Active Leadership,No,,Yes,2023-03-10 15:25:30,Yes,2023-03-10 15:25:00,user_00026,[REDACTED],Active,,,,First00066,,Last00072,,,,,,,,,user00072@example.invalid,alt00017@example.invalid,No,,,[ADDR1_00024],,Sweeny,Texas,TX,774XX,United States,,,,,,979,5550100,[ORG_00071],CTE Director,,[EADDR1_00024],[EADDR2_00003],Clute,Texas,TX,775XX,United States,,,979,5550101,,979,5550102,No,,,,,srch_00001,,False,False,2022-10-31 19:17:00,2023-10-19 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 50,"Up to 35,000 students",,Brazoria - 6,No,,,6,
000073,,f7b2e1e4-2ddd-2162-761c-f8aac971aab7,,,No,,,No,2017-05-16 16:49:10,,,No,,No,,No,,,,,,,,First00067,,Last00073,,,,,,,,,user00073@example.invalid,,No,,,,,,,,,,,,,5550103,,,,[ORG_00072],CATE Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000074,,0a73b7e0-74fc-cb7d-34dd-f3398db5322c,,2022-03-10 15:35:14,No,,,Yes,2022-03-10 15:35:14,,,No,,Yes,2022-03-10 15:51:39,Yes,2022-03-10 15:51:39,user_00027,[REDACTED],Teacher,,,,First00068,,Last00074,,,Mr.,,,,,,user00074@example.invalid,alt00018@example.invalid,No,,,[ADDR1_00025],,Luling,Texas,TX,786XX,United States,,,,,,830,5550104,[ORG_00073],Criminal Justice Teacher,,[EADDR1_00025],[EADDR2_00004],Luling,Texas,TX,786XX,United States,,,830,5550105,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Teacher ,,Under 30,"Up to 5,000 students",,Caldwell - 4,No,,,4,"Law, Public Safety and Security"
000075,,299b25c8-3681-8b11-744a-0ed2a57cefe5,,,No,,,No,2026-01-05 10:25:34,,,No,,No,,No,,,,,,,,First00031,,Last00075,,,,,,,,,user00075@example.invalid,,No,,,,,,,,,,,,,5550106,,,,[ORG_00074],CTE Business Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000076,,2e3d186d-cd96-4d0a-f053-3e8036b2859d,,2017-06-02 00:00:00,Yes,2017-06-08 14:13:00,2026-04-21 16:19:18,No,2025-05-15 00:11:31,2026-05-15 00:00:00,Administrator,No,,Yes,2026-04-21 16:20:54,Yes,2026-04-21 16:20:54,user_00028,[REDACTED],Teacher,,,,First00069,,Last00076,Nick00006,,Ms.,,,,,,user00076@example.invalid,alt00019@example.invalid,No,,,[ADDR1_00026],[ADDR2_00003],El Paso,Texas,TX,799XX,United States,,,,,,915,5550107,[ORG_00075],Director,,[EADDR1_00026],,El Paso,Texas,TX,799XX,United States,,,915,5550108,,915,5550109,No,,,,,srch_00001,,False,False,2025-05-15 00:11:31,2026-05-15 00:00:00,,0,0,0,338,,,,,Postsecondary,Administration,Under 40,"Up to 50,000 students",,El Paso - 11,,,,11,Business Management and Administration|Finance
000077,,2e0f7a81-7211-2113-b5e4-9277bb331939,,,No,,,No,2017-02-23 10:57:40,,,No,,No,,No,,,,,,,,First00070,,Last00077,,,,,,,,,user00077@example.invalid,,No,,,,,,,,,,,,,5550110,,,,[ORG_00076],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000078,,03291abe-a2fb-12e4-024b-443542ceaa40,,,No,,,No,2025-07-20 18:29:43,,,No,,No,,No,,,,,,,,First00031,,Last00078,,,,,,,,,user00078@example.invalid,,No,,,,,,,,,,,,,5550111,,,,[ORG_00077],Special Populations Director,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000079,,02c83ac9-e321-1132-fa94-a102b73abeb0,,,No,,,No,2023-11-02 14:55:37,,,No,,No,,No,,,,,,,,First00071,,Last00079,,,,,,,,,user00079@example.invalid,,No,,,,,,,,,,,,,5550112,,,,[ORG_00078],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000080,,a05b121a-2e10-32ba-4c03-22cb9e77171d,,2021-08-16 15:27:00,Yes,2021-08-16 15:37:00,2024-11-12 22:25:06,Yes,2024-11-12 21:50:53,2025-11-13 00:00:00,Teacher,No,,No,,No,,user_00029,[REDACTED],Teacher,,,,First00072,,Last00080,Nick00007,,Mrs.,,,,,,user00080@example.invalid,alt00020@example.invalid,No,,,[ADDR1_00027],,Buda,Texas,TX,786XX,United States,,,,,,512,5550113,[ORG_00079],Teacher,,[EADDR1_00027],,Buda,Texas,TX,786XX,United States,,,512,5550114,,,,No,,,,,srch_00001,,False,False,2024-11-12 21:50:53,2025-11-13 00:00:00,,0,0,0,338,,,,,Teacher ,Teacher,Under 60,"Up to 10,000 students",,Hays - 4,Yes,,,4,Human Services
000081,,fc480665-c03d-8343-0ddf-14d6b0ff1b16,,2024-10-01 11:11:47,No,,,Yes,2024-10-01 11:11:47,,,No,,No,,No,,user_00030,[REDACTED],Active,,,,First00073,,Last00081,,,,,,,,,user00081@example.invalid,alt00021@example.invalid,No,,,[ADDR1_00028],,Crowley,Texas,TX,760XX,United States,,,,,,817,5550115,[ORG_00080],CTE Coordinator,,[EADDR1_00028],,Crowley,Texas,TX,760XX,United States,,,817,5550116,,817,5550116,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Administration,Administration,Under 40,"Up to 35,000 students",,Harrison	 - 3,,,,3,
000082,,6d6dc792-705d-c67b-50ca-60cfbb8b6ebd,,2018-09-25 15:04:00,Yes,2018-09-25 15:51:47,2022-10-08 17:57:00,Yes,2022-10-08 18:01:47,2023-10-08 00:00:00,Active Instructional,No,,Yes,2020-05-28 21:30:17,Yes,2020-05-28 21:30:18,user_00031,[REDACTED],Teacher,,,,First00074,,Last00082,Nick00008,,,,,,2001-01-01,,user00082@example.invalid,alt00022@example.invalid,Yes,,,[ADDR1_00029],,Taylor,Texas,TX,765XX,United States,,,,,,530,5550117,[ORG_00081],CTE Teacher,,[EADDR1_00029],,ROUND ROCK,Texas,TX,786XX,United States,,,512,5550118,,,,No,,,,,srch_00001,,False,True,2022-10-08 18:01:47,2023-10-08 00:00:00,,0,0,0,338,,,,,Teacher ,,Under 50,"Up to 50,000 students",,Williamson - 4,Yes,,,4,Business Management and Administration|Finance
000083,,5ec888aa-8f11-72e3-ceae-bab988fce511,,,No,,,No,2021-02-02 12:52:20,,,No,,No,,No,,,,,,,,First00075,,Last00083,,,,,,,,,user00083@example.invalid,,No,,,,,,,,,,,,,5550119,,,,[ORG_00082],Associate Superintendent,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000084,,4943faf5-05aa-b202-0175-1d95e346210b,,2018-09-08 10:04:00,Yes,2018-09-08 10:04:44,,Yes,2018-10-11 14:02:45,2019-09-08 00:00:00,Business & Industry,No,,No,,No,,user_00032,[REDACTED],Business&Industry,,,,First00076,,Last00084,,,Ms.,,,,,,user00084@example.invalid,,No,,,[ADDR1_00030],[ADDR2_00004],Houston,Texas,TX,770XX,United States,,,,,,281,5550120,[ORG_00083],Managing Partner,Consulting,[EADDR1_00030],[EADDR2_00005],Houston,Texas,TX,770XX,United States,https://example.invalid/e00002,,281,5550120,,866,5550121,No,,,,,srch_00001,,True,True,2018-09-08 10:07:00,2019-09-08 00:00:00,,0,10,0,466,,,,,,,60,,,Harris - 6,,11,,6,
000085,,516451b1-2a55-1d6e-cf7b-13c37468538e,,,No,,,No,2020-05-07 15:58:36,,,No,,No,,No,,,,,,,,First00077,,Last00085,,,,,,,,,user00085@example.invalid,,No,,,,,,,,,,,,,5550122,,,,[ORG_00084],Business Education,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000086,,024db644-2440-06b2-a635-f6b303b0d771,,2025-10-31 16:08:17,Yes,2026-01-16 17:11:34,,No,2026-01-16 17:11:34,2027-01-16 00:00:00,Administrator,No,,No,,No,,user_00033,[REDACTED],Active,,,,First00078,,Last00086,,,,,,,,,user00086@example.invalid,,No,,,[ADDR1_00031],,Columbus,Texas,TX,789XX,United States,,,,,,979,5550123,[ORG_00085],High School Counselor,,[EADDR1_00031],,Columbus,Texas,TX,789XX,United States,,,979,5550124,,979,5550124,No,,,,,srch_00001,,False,False,2026-01-16 17:11:28,2027-01-16 00:00:00,,0,0,0,338,,,,,Guidance,Administration,Under 40,"Up to 5,000 students",,Houston - 5,No,,,5,
000087,,83669400-cfa0-8ed1-3ed1-b543df89fc9d,,2015-01-25 00:00:00,Yes,2016-03-31 12:06:16,,Yes,2016-06-13 12:24:25,2017-01-25 00:00:00,Active,No,,No,,No,,user_00034,[REDACTED],Active,,,,First00079,,Last00075,,,,,,,,,user00087@example.invalid,alt00023@example.invalid,No,,,[ADDR1_00032],,San Antonio,TX,,782XX,,,,,,,,5550125,[ORG_00086],Career Counselor,,[EADDR1_00032],,Converse,TX,,781XX,,,,,5550126,,,5550127,No,,,,,srch_00001,,False,False,2016-02-02 00:00:00,2017-01-25 00:00:00,153458,0,10,0,338,,,,,,Guidance,Under 50,"Up to 35,000",ACTE000003,7,,1,,7,
000088,,67c79296-b9b8-447b-8e54-147a8b5d6ca8,,,No,,,No,2023-09-29 15:24:41,,,No,,No,,No,,,,,,,,First00080,,Last00087,,,,,,,,,user00088@example.invalid,,No,,,,,,,,,,,,,5550128,,,,[ORG_00087],CTE Business Education High School Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000089,,871925e3-1ebf-b19f-2bf4-24ad8998e11b,,2013-12-03 00:00:00,Yes,2016-03-31 12:06:41,,Yes,2016-11-11 14:56:46,2017-12-01 00:00:00,Educational Institute,No,,No,,No,,user_00035,[REDACTED],Edu. Institution,,,,First00081,,Last00088,,,,,,,,,user00089@example.invalid,,No,,,[ADDR1_00033],,San Antonio,TX,,782XX,,,,,,,,5550129,[ORG_00088],Director of Agriscience Magnet Program,,[EADDR1_00033],,San Antonio,TX,,782XX,,,,,5550130,,,5550131,No,,,,,srch_00001,,False,False,2016-11-11 14:56:46,2017-12-01 00:00:00,153458,0,0,0,466,,,,,,Administration,,,ACTE000004,7,,2,2015-01-31 00:00:00,7,
000090,,c3c22767-689e-5e41-21a7-a37865e0fa75,,2024-02-02 00:00:00,Yes,2024-02-15 15:20:00,2025-10-31 11:21:08,No,2025-10-26 17:09:00,2026-09-29 00:00:00,Administrator,No,,Yes,2025-10-26 17:13:05,Yes,2025-10-26 17:13:05,user_00036,[REDACTED],Active,,,,First00082,,Last00041,Nick00009,,Mr.,,,,,,user00090@example.invalid,alt00024@example.invalid,No,,,[ADDR1_00034],,Bridgeport,Texas,TX,764XX,United States,,,,,,940,5550132,[ORG_00089],CTE Coordinator,,[EADDR1_00034],,Bridgeport,Texas,TX,764XX,United States,,,940,5550133,,940,5550134,No,,,,,srch_00001,,False,False,2025-09-29 14:55:00,2026-09-29 00:00:00,,0,0,0,338,,,,,Administration,Administration,Under 50,"Up to 5,000 students",,Wise - 2,No,,,2,
000091,,4888bf8b-5ab8-1c4d-fa07-85fcc7bf0ad4,,,No,,,No,2020-07-18 18:49:28,,,No,,No,,No,,,,,,,,First00083,,Last00013,,,,,,,,,user00091@example.invalid,,No,,,,,,,,,,,,,5550135,,,,[ORG_00090],Teacher,,,,,,,,,,,,,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,,,,,,,,,,,,,,,,
000092,,cd42fd3b-43a4-825f-b037-4c1aabba8e94,,2016-08-10 00:00:00,Yes,2016-08-10 18:08:00,2026-03-27 11:41:21,No,2026-03-09 09:27:20,2028-02-15 00:00:00,Campus Coach,No,,Yes,2025-12-04 12:24:12,Yes,2025-12-04 12:24:12,user_00037,[REDACTED],Campus Coach,,,,First00084,,Last00089,,,,,,,,,user00092@example.invalid,,No,,,[ADDR1_00035],,Harlingen,Texas,TX,785XX,United States,,,,,,956,5550136,[ORG_00091],Career Counselor,,[EADDR1_00035],,Harlingen,Texas,TX,785XX,United States,,,956,5550137,,956,5550138,No,,,,,srch_00001,,False,False,2026-02-10 10:36:00,2028-02-15 00:00:00,,0,10,0,466,,,,,Guidance,Guidance,Under 50,"Up to 35,000 students",,Cameron - 9,,,,9,
000093,,ffddb555-9ac0-a6d4-ca48-ae7b61da2d80,,2019-03-19 14:12:32,No,,,Yes,2019-03-19 14:12:32,,,No,,No,,No,,user_00038,[REDACTED],Teacher,,,,First00076,,Last00090,Nick00010,,,,,,,,user00093@example.invalid,alt00025@example.invalid,No,,,[ADDR1_00036],,Aledo,Texas,TX,760XX,United States,,,,,,817,5550139,[ORG_00092],CTE Instructor,,[EADDR1_00036],,Everman,Texas,TX,761XX,United States,,,817,5550140,,,,No,,,,,srch_00001,,False,False,,,,0,10,0,338,,,,,Business/Industry,,Under 50,"Up to 5,000 students",,Tarrant - 2,,,,2,"Arts, A/V Technology and Communication"
